date,RPI,INDPRO,UNRATE,HOUST,PERMIT,REALLN,FFR,GS1,CPIAUCSL,PCEPI,FF4,IV1,JKSIGN,RR,FAC1,FAC2,FAC3
tcode,4,5,1,5,5,5,1,1,5,5,1,1,1,1,1,1,1
1975M01,4737.819,42.6409,8.1,1032,726,130.0257,7.13,6.83,52.3,27.698,,,,-0.3687084,-0.833953205,0.984000357,-0.005022798
1975M02,4735.434,41.6602,8.1,904,729,130.6318,6.24,5.98,52.6,27.849,,,,0.2339981,-0.858211717,1.029632651,-0.492226315
1975M03,4738.979,41.2135,8.6,993,709,131.1786,5.54,6.11,52.8,27.943,,,,-0.4145509,-0.8856422,1.087350564,-0.863964856
1975M04,4744.477,41.246,8.8,1005,866,131.6391,5.49,6.9,53,28.039,,,,-0.5769329,-0.171442915,0.070690173,0.083325852
1975M05,4773.677,41.1515,9,1121,914,131.7233,5.22,6.39,53.1,28.15,,,,0.1355233,0.553034074,-0.834421751,1.14394345
1975M06,4856.934,41.4224,8.8,1087,946,131.8532,5.55,6.29,53.5,28.326,,,,0.182744,0.320865838,-0.583625132,0.842280917
1975M07,4803.336,41.8234,8.6,1226,1020,131.83,6.1,7.11,54,28.569,,,,0.0453894,0.100345025,-0.117546088,0.315426123
1975M08,4839.17,42.2573,8.4,1260,994,131.9313,6.14,7.7,54.2,28.693,,,,-0.1441198,0.108661502,0.209632021,0.052750854
1975M09,4850.581,42.7796,8.4,1264,1064,132.1325,6.24,7.75,54.6,28.835,,,,-0.1121478,-0.002191548,0.376613545,0.036703224
1975M10,4873.248,42.9687,8.4,1344,1096,132.863,5.82,6.95,54.9,29.003,,,,-0.1980368,-0.529119478,0.365801505,0.244399527
1975M11,4873.038,43.0614,8.3,1360,1110,133.3819,5.22,6.49,55.3,29.189,,,,-0.315378,-1.062262487,0.157193084,0.488824838
1975M12,4880.208,43.5973,8.2,1321,1091,134.0939,5.2,6.6,55.6,29.35,,,,0.2369289,-0.755655512,0.103652274,0.543627785
1976M01,4912.199,44.2288,7.9,1367,1195,135.0484,4.87,5.81,55.8,29.462,,,,-0.0995446,-0.456422617,0.411234082,0.191602238
1976M02,4940.807,44.6725,7.7,1538,1190,136.2984,4.77,5.91,55.9,29.5,,,,-0.4622471,-0.461149174,0.807105403,-0.303513979
1976M03,4953.855,44.7125,7.6,1421,1164,137.9788,4.84,6.21,56,29.544,,,,-0.2652588,-0.705454641,1.141612271,-0.710147223
1976M04,4972.929,44.9643,7.7,1395,1132,139.8826,4.82,5.92,56.1,29.611,,,,0.1363696,-0.35950706,0.271758674,0.050029442
1976M05,4978.637,45.1741,7.4,1459,1194,140.9549,5.29,6.4,56.4,29.752,,,,-0.2574376,0.02681706,-0.640029447,0.892641175
1976M06,4986.058,45.183,7.6,1495,1188,141.6213,5.48,6.52,56.7,29.882,,,,-0.0270147,-0.20451069,-0.491756872,0.679035251
1976M07,5016.851,45.4535,7.8,1401,1245,142.5971,5.31,6.2,57,30.033,,,,-0.1440769,-0.283406364,-0.033961239,0.308322222
1976M08,5030.951,45.7737,7.8,1550,1309,143.755,5.29,6,57.3,30.199,,,,-0.0503726,-0.234399202,0.360663524,0.16215151
1976M09,5035.24,45.9031,7.6,1720,1481,144.7779,5.25,5.84,57.6,30.369,,,,-0.0077816,-0.335295231,0.450640004,0.214692075
1976M10,5033.628,45.9207,7.7,1629,1425,146.071,5.02,5.5,57.9,30.528,,,,-0.0823017,-0.73683189,0.311170627,0.38005718
1976M11,5077.738,46.5978,7.8,1641,1531,147.2806,4.95,5.29,58.1,30.667,,,,0.0016443,-1.081191556,0.105775489,0.59384987
1976M12,5093.252,47.0854,7.8,1804,1511,148.5136,4.65,4.89,58.4,30.839,,,,-0.1194494,-0.752061185,-0.001703429,0.673785875
1977M01,5068.733,46.8276,7.5,1527,1466,149.6394,4.61,5.29,58.7,31.017,,,,-0.1224781,-0.597731683,0.164741451,0.44266058
1977M02,5085.115,47.5417,7.6,1943,1560,151.6731,4.68,5.47,59.3,31.26,,,,-0.1395348,-0.907111085,0.656311406,-0.142024241
1977M03,5107.63,48.131,7.4,2063,1660,153.6788,4.69,5.5,59.6,31.417,,,,-0.2478156,-1.604172069,1.262471132,-0.932145864
1977M04,5129.551,48.5838,7.2,1892,1660,156.0952,4.73,5.44,60,31.6,,,,-0.085265,-1.261017116,0.067178544,-0.090068242
1977M05,5142.384,48.9891,7,1971,1668,158.592,5.35,5.84,60.2,31.76,,,,-0.0841385,-0.642823798,-1.074157521,1.158226445
1977M06,5150.462,49.3428,7.2,1893,1752,160.6562,5.39,5.8,60.5,31.937,,,,-0.1610702,-1.089872546,-0.433495482,1.033193393
1977M07,5178.98,49.412,6.9,2058,1687,162.9974,5.42,5.94,60.8,32.103,,,,-0.2676827,-1.380498049,0.097342765,0.679864734
1977M08,5199.209,49.4259,7,2020,1780,165.634,5.9,6.37,61.1,32.253,,,,0.0024756,-1.247547944,0.284948428,0.420170635
1977M09,5231.769,49.6639,6.8,1949,1674,167.5557,6.14,6.53,61.3,32.374,,,,0.0441249,-1.218785784,0.347865501,0.225635568
1977M10,5277.057,49.7592,6.8,2042,1758,170.2452,6.47,6.97,61.6,32.524,,,,-0.0372709,-1.388261773,0.360408367,0.175792811
1977M11,5318.495,49.8117,6.8,2042,1771,172.8184,6.51,6.95,62,32.712,,,,-0.0659826,-1.492187012,0.283124066,0.289073022
1977M12,5342.172,49.8949,6.4,2142,1754,175.0673,6.56,6.96,62.3,32.87,,,,-0.1152749,-1.141075846,0.245197898,0.425035341
1978M01,5323.379,49.2066,6.4,1718,1740,177.7143,6.7,7.28,62.7,33.064,,,,-0.2165074,-0.938972092,0.380114997,0.314744946
1978M02,5347.188,49.4502,6.3,1738,1736,180.32,6.78,7.34,63,33.218,,,,0.0573472,-0.917289508,0.54163324,0.163605378
1978M03,5377.624,50.3928,6.3,2032,1799,183.0011,6.79,7.31,63.4,33.433,,,,-0.0014195,-1.254032505,0.845909618,-0.096318368
1978M04,5408.475,51.4368,6.1,2197,1948,185.8235,6.89,7.45,63.9,33.686,,,,-0.0921419,-1.166457852,0.103825272,0.268019985
1978M05,5414.64,51.6276,6,2075,1766,188.9707,7.36,7.82,64.5,33.927,,,,-0.2391022,-0.942281475,-0.453770631,0.628190328
1978M06,5434.314,51.9833,5.9,2070,1983,192.106,7.6,8.09,65,34.149,,,,0.1988957,-1.188348241,-0.041356878,0.290768593
1978M07,5464.134,51.9592,6.2,2092,1786,195.0134,7.81,8.39,65.5,34.336,,,,-0.150788,-1.168510862,0.083665324,0.092038829
1978M08,5488.997,52.1543,5.9,1996,1691,198.3252,8.04,8.31,65.9,34.509,,,,-0.0950329,-0.93242263,0.047689262,0.075667879
1978M09,5496.064,52.286,6,1970,1751,201.099,8.45,8.64,66.5,34.706,,,,-0.1752538,-0.886204903,0.1760402,0.04516031
1978M10,5516.386,52.7054,5.8,1981,1781,204.5151,8.96,9.14,67.1,34.981,,,,0.1244038,-1.073850213,0.256623823,0.171088039
